fips,2020/01/01,2020/02/01,2020/03/01,2020/04/01,2020/05/01,2020/06/01,2020/07/01,2020/08/01,2020/09/01,2020/10/01,2020/11/01,2020/12/01,2021/01/01,2021/02/01,2021/03/01,2021/04/01,2021/05/01,2021/06/01,2021/07/01,2021/08/01,2021/09/01,2021/10/01,2021/11/01,2021/12/01,2022/01/01,2022/02/01
53025,0,0,1,3,1,3,6,5,7,6,8,47,22,10,0,5,5,9,0,12,21,18,0,27,21,4
53027,0,0,0,0,0,0,2,5,3,3,6,18,7,13,15,6,10,6,6,7,21,22,15,9,19,6
53029,0,0,3,6,2,1,3,2,0,0,2,7,0,4,2,2,1,0,2,3,9,3,4,6,4,4
53031,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,9,4,2,2,3,1
53033,0,1,151,296,117,48,58,76,45,58,68,214,193,155,74,50,66,96,23,87,120,120,77,78,170,123
53035,0,0,1,2,0,0,4,6,6,10,8,14,28,18,10,13,7,5,6,13,60,43,13,16,20,17
53037,0,0,0,0,0,0,17,3,1,0,3,3,4,0,0,3,1,3,1,4,7,8,0,1,2,0
53039,0,0,1,2,0,0,0,0,0,0,0,0,2,4,1,0,1,1,3,0,2,3,12,4,4,1
53041,0,0,0,3,0,0,0,1,1,7,5,16,10,13,3,11,7,11,6,6,33,32,18,16,24,5
53043,0,0,0,0,0,0,0,1,0,1,2,4,1,1,1,2,1,3,0,0,5,5,3,1,1,0
53045,0,0,0,1,0,0,0,1,5,5,1,8,2,6,6,2,7,6,4,6,13,14,10,12,20,12
53047,0,0,0,1,1,0,3,4,4,0,2,17,2,2,0,2,2,3,0,4,15,20,15,10,3,4
53049,0,0,0,0,1,0,1,1,0,0,0,2,3,2,0,0,1,3,1,3,7,7,3,4,5,3
53051,0,0,0,0,0,0,0,0,0,1,0,3,1,1,1,0,2,0,0,1,9,3,2,2,3,1
53053,0,0,6,45,28,23,34,48,48,27,62,85,119,85,55,43,47,33,24,36,96,79,87,49,150,54
53055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53057,0,0,3,10,2,0,8,3,0,1,4,14,10,11,5,2,6,3,3,7,15,13,23,19,15,9
53059,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,2,1,0
53061,0,0,32,76,39,25,31,25,12,23,59,99,95,50,21,10,19,25,16,29,49,60,39,44,108,35
53063,0,0,4,18,10,9,21,78,35,34,59,105,135,79,52,25,22,36,18,64,154,86,95,59,62,32
53065,0,0,0,1,0,0,0,0,1,3,2,10,4,2,5,1,1,5,0,4,38,15,15,11,6,5
53067,0,0,0,1,1,6,4,6,6,15,14,13,12,12,9,11,13,7,10,29,48,38,24,15,42,27
